Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Urgot,Fighter,TOP,S,13.1,53.01%,96.14%,4.10%,Blue (1.51%)/Red (0.5%),2.0
Varus,Marksman,ADC,D,-1.14,48.09%,92.08%,2.36%,Blue (0.11%)/Red (0.08%),2.3
Vayne,Marksman,ADC,S,-10.08,51.99%,85.85%,13.60%,Blue (22.12%)/Red (0.16%),2.19
Vayne,Marksman,TOP,B,-10.49,51.27%,12.63%,1.86%,Blue (19.15%)/Red (3.13%),1.53
Veigar,Mage,MID,A,-4.8,48.94%,71.45%,3.79%,Blue (0.39%)/Red (0.87%),2.26
Veigar,Mage,ADC,C,-0.33,51.96%,14.47%,0.64%,Blue (1.14%)/Red (0.22%),2.4
Veigar,Mage,SUPPORT,D,0.56,47.50%,12.84%,0.73%,Blue (0.71%)/Red (0.65%),2.02
Vel'Koz,Mage,MID,B,-1.07,51.46%,41.65%,1.19%,Blue (0.23%)/Red (0.29%),2.67
Vel'Koz,Mage,SUPPORT,B,-1.85,49.44%,56.29%,1.96%,Blue (0.05%)/Red (0.5%),2.17
Vex,Mage,MID,S+,10.71,50.76%,84.52%,9.15%,Blue (2.69%)/Red (16.56%),2.48
Vex,Mage,SUPPORT,D,-6.68,45.55%,13.19%,1.44%,Blue (1.9%)/Red (17.35%),1.99
Vi,Fighter,JUNGLE,A,-3.59,52.20%,94.44%,5.89%,Blue (1.85%)/Red (1.27%),2.45
Viego,Assassin,JUNGLE,S+,0.59,49.74%,94.84%,13.03%,Blue (12.21%)/Red (2.01%),2.46
Viktor,Mage,MID,S+,-0.14,51.10%,84.98%,10.55%,Blue (14.38%)/Red (1.62%),2.35
Viktor,Mage,TOP,C,-11.51,49.80%,13.16%,1.65%,Blue (11.31%)/Red (4.69%),1.88
Vladimir,Mage,MID,A,5.34,51.58%,74.42%,4.37%,Blue (2.18%)/Red (3.54%),2.45
Vladimir,Mage,TOP,C,-6.05,49.12%,23.57%,1.37%,Blue (1.29%)/Red (4.43%),2.03
Volibear,Fighter,JUNGLE,B,1.84,49.23%,41.70%,2.19%,Blue (0.58%)/Red (0.9%),2.5
Volibear,Fighter,TOP,D,-8.58,46.11%,56.03%,2.58%,Blue (0.36%)/Red (1.12%),1.79
Warwick,Fighter,JUNGLE,A,-3.57,49.76%,73.58%,5.84%,Blue (5.03%)/Red (0.57%),2.25
Warwick,Fighter,TOP,D,-7.37,49.36%,24.85%,1.20%,Blue (5.28%)/Red (0.32%),1.94
Wukong,Fighter,TOP,B,-1.75,50.56%,78.66%,2.22%,Blue (0.38%)/Red (0.23%),2.12
Wukong,Fighter,JUNGLE,C,-4.87,48.80%,14.19%,0.38%,Blue (0.23%)/Red (0.39%),2.54
Xayah,Marksman,ADC,B,1.61,50.67%,98.76%,3.87%,Blue (0.25%)/Red (0.28%),2.37
Xerath,Mage,MID,A,5.16,51.01%,38.11%,2.97%,Blue (4.03%)/Red (1.5%),3.17
Xerath,Mage,SUPPORT,A,-5.49,49.84%,56.29%,4.76%,Blue (0.62%)/Red (4.91%),2.54
Xin Zhao,Fighter,JUNGLE,A,1.14,50.23%,96.20%,6.76%,Blue (2.51%)/Red (1.67%),2.44
Yasuo,Fighter,MID,S+,-0.04,49.56%,71.44%,11.77%,Blue (6.81%)/Red (17.6%),1.74
Yasuo,Fighter,TOP,B,-14.89,47.77%,16.35%,2.53%,Blue (0.05%)/Red (24.36%),1.45
Yasuo,Fighter,ADC,C,-3.91,50.52%,11.70%,1.82%,Blue (4.53%)/Red (19.88%),1.95
Yone,Assassin,MID,S,-7.47,48.42%,60.52%,9.35%,Blue (24.45%)/Red (2.87%),1.84
Yone,Assassin,TOP,S,-20.17,47.59%,37.77%,5.42%,Blue (7.29%)/Red (20.03%),1.58
Yorick,Fighter,TOP,B,-0.42,51.30%,96.77%,2.74%,Blue (0.91%)/Red (1.35%),1.65
Yuumi,Support,SUPPORT,S+,-2.67,47.77%,99.12%,10.75%,Blue (10.48%)/Red (18.2%),4.11
Zac,Tank,JUNGLE,A,-0.01,51.43%,84.90%,4.39%,Blue (1.4%)/Red (0.71%),3.61
Zed,Assassin,MID,S+,-0.27,50.87%,67.21%,8.84%,Blue (35.06%)/Red (6.82%),2.31
Zed,Assassin,JUNGLE,A,-5.06,48.63%,29.94%,3.34%,Blue (26.74%)/Red (15.14%),2.47
Ziggs,Mage,ADC,B,-0.16,53.51%,68.66%,2.20%,Blue (0.55%)/Red (0.05%),2.51
Ziggs,Mage,MID,C,-0.6,48.37%,24.85%,0.86%,Blue (0.06%)/Red (0.54%),2.36
Zilean,Support,MID,A,1.35,54.19%,14.12%,0.56%,Blue (0.7%)/Red (0.7%),3.46
Zilean,Support,SUPPORT,A,1.68,50.83%,81.95%,3.38%,Blue (0.68%)/Red (0.72%),3.03
Zoe,Mage,MID,A,4.62,49.84%,94.18%,3.62%,Blue (0.02%)/Red (1.39%),2.58
Zyra,Mage,SUPPORT,A,1.74,52.18%,92.46%,3.85%,Blue (0.4%)/Red (1.56%),2.13
